timestamp,tail,owner,airport,airport_name,leg
2024-02-26,N628TS,Elon Musk,LAX,Los Angeles International Airport,departure
2024-02-26,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-02-25,N628TS,Elon Musk,BED,Laurence Hanscom Field Airport,departure
2024-02-25,N628TS,Elon Musk,LAX,Los Angeles International Airport,arrival
2024-02-25,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-02-25,N628TS,Elon Musk,BED,Laurence Hanscom Field Airport,arrival
2024-02-22,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-02-22,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-02-20,N628TS,Elon Musk,LAX,Los Angeles International Airport,departure
2024-02-20,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-02-20,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-02-20,N628TS,Elon Musk,LAX,Los Angeles International Airport,arrival
2024-02-17,N628TS,Elon Musk,PBI,Palm Beach International Airport,departure
2024-02-17,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-02-16,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-02-16,N628TS,Elon Musk,PBI,Palm Beach International Airport,arrival
2024-02-15,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-02-15,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-02-13,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-02-13,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-02-12,N628TS,Elon Musk,LAS,McCarran International Airport,departure
2024-02-12,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-02-11,N628TS,Elon Musk,SFO,San Francisco International Airport,departure
2024-02-11,N628TS,Elon Musk,LAS,McCarran International Airport,arrival
2024-02-11,N628TS,Elon Musk,LAS,McCarran International Airport,departure
2024-02-11,N628TS,Elon Musk,SFO,San Francisco International Airport,arrival
2024-02-11,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-02-11,N628TS,Elon Musk,LAS,McCarran International Airport,arrival
2024-02-08,N628TS,Elon Musk,SJC,San Jose International Airport,departure
2024-02-08,N628TS,Elon Musk,AUS,Austin International Airport,arrival
2024-02-06,N628TS,Elon Musk,AUS,Austin International Airport,departure
2024-02-06,N628TS,Elon Musk,SJC,San Jose International Airport,arrival
2024-02-05,N628TS,Elon Musk,LAX,Los Angeles International Airport,departure
2024-02-05,N628TS,Elon Musk,AUS,Austin International Airport,arrival
